Orthogroup	Most_Annotated_Protein	Species
OG0000063_00	G6Z76_0002663	Acrcha
OG0000064_00	LOCUS8131	Laspla
OG0000064_01	G6Z76_0014053	Acrcha
OG0000065_00	Peptidase_M1_leukotriene_A4_hydrolase_aminopeptidase_Cterminal_g18090_i1	Acafer
OG0000067_00	G6Z76_0002194	Acrcha
OG0000069_00	LOCUS13643	Laspla
OG0000070_00	LOCUS12370	Laspla
OG0000072_00	LOCUS11407-2	Laspla
OG0000073_00	G6Z76_0009250	Acrcha
OG0000074_00	LOCUS3094	Laspla
OG0000076_00	Cytochrome_P450_g15059_i2	Acafer
OG0000077_00	ACFW04_009380	Catnig
OG0000079_00	Cytochrome_P450_g02875_i1	Acrame
OG0000080_00	LOCUS10311-2	Laspla
OG0000080_01	LOCUS10312	Laspla
OG0000080_02	LOCUS11961	Laspla
OG0000081_00	Peptidase_M16_N-terminal_g16429_i1	Myrbin
OG0000083_00	Peptidase_M14_carboxypeptidase_A_g08133_i2	Acafer
OG0000083_01	Peptidase_M14_carboxypeptidase_A_g08131_i1	Acafer
OG0000084_00	LOCUS11850	Laspla
OG0000085_00	LOCUS5982	Laspla
OG0000086_00	G6Z77_0003787	Acrhey
OG0000086_01	LOCUS3205	Laspla
OG0000086_02	LOCUS3204	Laspla
OG0000088_00	LOCUS4091	Laspla
OG0000089_00	serpin_g18060_i1	Acafer
OG0000089_01	serpin_g05865_i1	Acafer
OG0000091_00	G6Z76_0000126	Acrcha
OG0000092_00	LOCUS8632-2	Laspla
OG0000095_00	LOCUS2582	Laspla
OG0000096_00	Cytochrome_P450_g17815_i1	Acafer
OG0000098_00	LOCUS5979	Laspla
OG0000100_00	LOCUS5983	Laspla
OG0000101_00	Peptidase_S1_S6_chymotrypsin_Hap_g15020_i1	Anogra
OG0000102_00	LOCUS993	Laspla
OG0000102_01	LOCUS6095	Laspla
OG0000103_00	LOCUS14393	Laspla
OG0000104_00	Peptidase_M12A_astacin_g13024_i1	Acafer
OG0000107_00	LOCUS7862	Laspla
OG0000109_00	Peptidase_S1_S6_chymotrypsin_Hap_g16628_i1	Anogra
OG0000111_00	LOCUS13532	Laspla
OG0000111_01	LOCUS13533	Laspla
OG0000112_00	LOCUS9271	Laspla
OG0000113_00	LOCUS5926	Laspla
OG0000114_00	LOCUS3452	Laspla
OG0000116_00	LOCUS12104-2	Laspla
OG0000117_00	LOCUS10295	Laspla
OG0000118_00	G6Z77_0009813	Acrhey
OG0000119_00	LOCUS12073	Laspla
OG0000120_00	LOCUS8120-2	Laspla
OG0000121_00	G6Z76_0004852	Acrcha
OG0000122_00	LOCUS8114	Laspla
OG0000124_00	LOCUS154	Laspla
OG0000124_01	LOCUS153	Laspla
OG0000125_00	SET_g14886_i1	Acafer
OG0000126_00	Cytochrome_P450_g05364_i1	Acafer
OG0000128_00	LOCUS14541	Laspla
OG0000129_00	P5V15_000438	Pogcal
OG0000130_00	Cytochrome_P450_g02235_i1	Acafer
OG0000132_00	ACFW04_009632	Catnig
OG0000133_00	Peptidase_C14_caspase_non-catalytic_subunit_p10_g07933_i3	Irianc
OG0000134_00	LOCUS4486	Laspla
OG0000135_00	LOCUS11846	Laspla
OG0000136_00	Peptidase_S1_S6_chymotrypsin_Hap_g13325_i1	Acafer
OG0000138_00	LOCUS6649	Laspla
OG0000139_00	LOCUS11100-2	Laspla
OG0000139_01	LOCUS11101	Laspla
OG0000140_00	Elongases_g11324_i1	Acafer
OG0000143_00	LOCUS13584-2	Laspla
OG0000144_00	LOCUS2187	Laspla
OG0000145_00	LOCUS1215	Laspla
OG0000146_00	LOCUS7113	Laspla
OG0000147_00	LOCUS2193	Laspla
OG0000151_00	LOCUS2995	Laspla
OG0000152_00	LOCUS7121	Laspla
OG0000154_00	LOCUS10001	Laspla
OG0000155_00	Peptidase_S1_S6_chymotrypsin_Hap_g16993_i1	Anogra
OG0000156_00	Cytochrome_P450_g17806_i1	Acafer
OG0000157_00	LOCUS11446	Laspla
OG0000160_00	LOCUS6172-2	Laspla
OG0000161_00	LOCUS13472	Laspla
OG0000164_00	LOCUS9988	Laspla
OG0000168_00	LOCUS10286	Laspla
OG0000170_00	Peptidase_M12B_ADAM_reprolysin_g02134_i1	Forexs
OG0000171_00	LOCUS11425	Laspla
OG0000172_00	Glutathione_S-transferases_g18391_i1	Acafer
OG0000173_00	LOCUS7963	Laspla
OG0000173_01	LOCUS7964	Laspla
OG0000175_00	LOCUS10283	Laspla
OG0000176_00	Vitellogenin_g044101_i1	Anoris
OG0000177_00	LOCUS7142	Laspla
OG0000177_01	LOCUS3236	Laspla
OG0000178_00	LOCUS11842	Laspla
OG0000178_01	G6Z76_0006728	Acrcha
OG0000180_00	LOCUS6446	Laspla
OG0000181_00	LOCUS8278	Laspla
OG0000182_00	Alpha_beta_hydrolase_fold-1_g04479_i1	Acrsub
OG0000182_01	acid_lipase_g01065_i11	Colosp
OG0000183_00	G6Z76_0001486	Acrcha
OG0000184_00	LOCUS10302	Laspla
OG0000185_00	Cytochrome_P450_g17149_i1	Acafer
OG0000186_00	LOCUS9227	Laspla
OG0000188_00	HN011_009612	Ecibur
OG0000190_00	LOCUS12621	Laspla
OG0000192_00	LOCUS1853	Laspla
OG0000194_00	LOCUS10817	Laspla
OG0000195_00	LOCUS7752	Laspla
OG0000196_00	LOCUS3527	Laspla
OG0000198_00	Peptidase_M13_neprilysin_C-terminal_g00505_i1	Diskam
OG0000199_00	G6Z76_0007693	Acrcha
OG0000200_00	Peptidase_M1_membrane_alanine_aminopeptidase_N-terminal_g05439_i2	Acafer
OG0000201_00	ACFW04_000553	Catnig
OG0000202_00	LOCUS5644	Laspla
OG0000204_00	Carboxylesterase_type_B_g01597_i1	Acafer
OG0000207_00	LOCUS13828	Laspla
OG0000210_00	Carboxylesterase_type_B_g11937_i1	Diaind
OG0000211_00	LOCUS3340	Laspla
OG0000212_00	Cytochrome_P450_g12045_i1	Acafer
OG0000212_01	Cytochrome_P450_g09863_i1	Acafer
OG0000213_00	LOCUS1171	Laspla
OG0000214_00	LOCUS11741	Laspla
OG0000214_01	hunchback_g00213_i1	Acafer
OG0000215_00	Peptidase_M14_carboxypeptidase_A_g04394_i1	Acafer
OG0000216_00	Chromo-domain_g03530_i1	Acafer
OG0000217_00	G6Z76_0008499	Acrcha
OG0000219_00	LOCUS11848	Laspla
OG0000222_00	LOCUS3845-2	Laspla
OG0000223_00	LOCUS10292-2	Laspla
OG0000224_00	Alpha_beta_hydrolase_fold-1_g10873_i1	Leptsp
OG0000225_00	LOCUS2834	Laspla
OG0000226_00	LOCUS10876	Laspla
OG0000226_01	LOCUS10877	Laspla
OG0000229_00	Peptidase_M1_membrane_alanine_aminopeptidase_N-terminal_g09075_i1	Acafer
OG0000229_01	Peptidase_M1_membrane_alanine_aminopeptidase_N-terminal_g03445_i1	Acafer
OG0000231_00	LOCUS9040	Laspla
OG0000231_01	LOCUS9041	Laspla
OG0000233_00	LOCUS4278	Laspla
OG0000233_01	LOCUS9044	Laspla
OG0000234_00	LOCUS5519	Laspla
OG0000234_01	LOCUS2878	Laspla
OG0000238_00	LOCUS6522	Laspla
OG0000238_01	LOCUS6521	Laspla
OG0000239_00	ACFW04_004786	Catnig
OG0000239_01	LOCUS1871	Laspla
OG0000241_00	LOCUS12199	Laspla
OG0000242_00	LOCUS6799-2	Laspla
OG0000242_01	LOCUS6801	Laspla
OG0000243_00	LOCUS14733	Laspla
OG0000244_00	LOCUS6944	Laspla
OG0000244_01	LOCUS6945	Laspla
OG0000246_00	LOCUS4216	Laspla
OG0000247_00	LOCUS11885	Laspla
OG0000248_00	LOCUS11163	Laspla
OG0000253_00	G6Z76_0005789	Acrcha
OG0000253_01	G6Z76_0009251	Acrcha
OG0000254_00	LOCUS10146	Laspla
OG0000254_01	LOCUS10145-2	Laspla
OG0000256_00	LOCUS12833	Laspla
OG0000256_01	LOCUS6475	Laspla
OG0000257_00	LOCUS11065	Laspla
OG0000259_00	Peptidase_S1_S6_chymotrypsin_Hap_g10331_i1	Acrame
OG0000259_01	Peptidase_S1_S6_chymotrypsin_Hap_g04213_i11	Lepbin
OG0000260_00	Peptidase_S1_S6_chymotrypsin_Hap_g05259_i1	Anogra
OG0000262_00	LOCUS8097	Laspla
OG0000263_00	LOCUS1105	Laspla
OG0000265_00	LOCUS3170	Laspla
OG0000265_01	LOCUS12465	Laspla
OG0000266_00	LOCUS8144	Laspla
OG0000268_00	LOCUS9272	Laspla
OG0000270_00	Cytochrome_P450_g05371_i1	Acafer
OG0000271_00	LOCUS14508	Laspla
OG0000272_00	G6Z76_0002782	Acrcha
OG0000273_00	LOCUS11844	Laspla
OG0000274_00	LOCUS11196	Laspla
OG0000275_00	Peptidase_S1_S6_chymotrypsin_Hap_g00467_i1	Acafer
OG0000277_00	LOCUS8510	Laspla
OG0000278_00	LOCUS8951-2	Laspla
OG0000279_00	LOCUS835	Laspla
OG0000280_00	G6Z77_0005252	Acrhey
OG0000281_00	LOCUS13346	Laspla
OG0000281_01	LOCUS578	Laspla
OG0000284_00	LOCUS9935	Laspla
OG0000286_00	Peptidase_C19_ubiquitin_carboxyl-terminal_hydrolase_2_g01702_i1	Anogra
OG0000287_00	LOCUS13923	Laspla
OG0000288_00	LOCUS6912	Laspla
OG0000290_00	LOCUS1176	Laspla
OG0000290_01	LOCUS9358	Laspla
OG0000291_00	LOCUS3531	Laspla
OG0000292_00	Cytochrome_P450_g09771_i1	Acafer
OG0000293_00	LOCUS14640-2	Laspla
OG0000293_01	LOCUS14639	Laspla
OG0000295_00	G6Z76_0012051	Acrcha
OG0000295_01	LOCUS4219	Laspla
OG0000296_00	LOCUS2586	Laspla
OG0000297_00	LOCUS4541	Laspla
OG0000297_01	LOCUS315	Laspla
OG0000299_00	LOCUS6763	Laspla
OG0000300_00	LOCUS8750	Laspla
OG0000301_00	LOCUS3644	Laspla
OG0000301_01	LOCUS13898	Laspla
OG0000302_00	LOCUS11303	Laspla
OG0000303_00	ACFW04_008508	Catnig
OG0000303_01	LOCUS3971	Laspla
OG0000304_00	Rpd3_g17988_i1	Acafer
OG0000304_01	LOCUS12069	Laspla
OG0000305_00	LOCUS6765	Laspla
OG0000305_01	LOCUS6767	Laspla
OG0000306_00	LOCUS7494	Laspla
OG0000307_00	LOCUS2831-2	Laspla
OG0000307_01	LOCUS5318	Laspla
OG0000310_00	LOCUS13520	Laspla
OG0000311_00	LOCUS3451	Laspla
OG0000312_00	LOCUS13278	Laspla
OG0000313_00	Peptidase_C48_SUMO_Sentrin_Ubl1_g13448_i1	Acafer
OG0000314_00	LOCUS10288	Laspla
OG0000317_00	LOCUS6914	Laspla
OG0000318_00	LOCUS9334	Laspla
OG0000320_00	HN011_001538	Ecibur
OG0000323_00	LOCUS12524	Laspla
OG0000323_01	LOCUS13126	Laspla
OG0000325_00	Elongases_g11326_i1	Acafer
OG0000326_00	LOCUS10421	Laspla
OG0000328_00	G6Z76_0008744	Acrcha
OG0000329_00	LOCUS8884	Laspla
OG0000329_01	LOCUS7652	Laspla
OG0000332_00	G6Z76_0009948	Acrcha
OG0000334_00	LOCUS13542	Laspla
OG0000335_00	Peptidase_C26_gamma-glutamyl_hydrolase_g02125_i1	Acrame
OG0000335_01	Peptidase_C26_gamma-glutamyl_hydrolase_g12067_i1	Anogra
OG0000336_00	LOCUS1299	Laspla
OG0000337_00	G6Z76_0011621	Acrcha
OG0000339_00	Peptidase_S1_S6_chymotrypsin_Hap_g13891_i1	Anoris
OG0000340_00	LOCUS14036	Laspla
OG0000340_01	LOCUS6216	Laspla
OG0000341_00	LOCUS5325	Laspla
OG0000342_00	LOCUS1127	Laspla
OG0000343_00	LOCUS9300	Laspla
OG0000345_00	LOCUS12511	Laspla
OG0000345_01	LOCUS12513	Laspla
OG0000347_00	LOCUS3899	Laspla
OG0000347_01	LOCUS3898	Laspla
OG0000348_00	LOCUS7228	Laspla
OG0000349_00	G6Z77_0014148	Acrhey
OG0000350_00	polyketide_synthase_enoylreductase_domain_g00967_i1	Acafer
OG0000351_00	LOCUS3601	Laspla
OG0000358_00	LOCUS8547	Laspla
OG0000359_00	LOCUS7648	Laspla
OG0000361_00	LOCUS5771	Laspla
OG0000363_00	LOCUS3716	Laspla
OG0000365_00	LOCUS12052	Laspla
OG0000367_00	G6Z76_0003839	Acrcha
OG0000369_00	LOCUS13586	Laspla
OG0000370_00	LOCUS4997	Laspla
OG0000371_00	Peptidase_S1_S6_chymotrypsin_Hap_g10774_i1	Acafer
OG0000372_00	G6Z76_0005268	Acrcha
OG0000373_00	LOCUS12214	Laspla
OG0000373_01	G6Z76_0008050	Acrcha
OG0000374_00	LOCUS9071-2	Laspla
OG0000375_00	LOCUS6930	Laspla
OG0000377_00	Peptidase_S1_S6_chymotrypsin_Hap_g15919_i2	Acrsub
OG0000378_00	Peptidase_M20_dimerisation_g13545_i1	Acrech
OG0000379_00	LOCUS4368	Laspla
OG0000380_00	LOCUS13503	Laspla
OG0000383_00	LOCUS11840	Laspla
OG0000384_00	LOCUS2140	Laspla
OG0000385_00	G6Z75_0012834	Acrins
OG0000386_00	LOCUS14720	Laspla
OG0000387_00	LOCUS3212	Laspla
OG0000388_00	G6Z76_0001274	Acrcha
OG0000390_00	ACFW04_010438	Catnig
OG0000391_00	LOCUS7311	Laspla
OG0000392_00	LOCUS12805	Laspla
OG0000394_00	LOCUS3522	Laspla
OG0000396_00	LOCUS5562	Laspla
OG0000397_00	LOCUS11468	Laspla
OG0000398_00	LOCUS8116	Laspla
OG0000399_00	LOCUS139	Laspla
OG0000400_00	LOCUS1963	Laspla
OG0000402_00	LOCUS6230	Laspla
OG0000403_00	LOCUS3778	Laspla
OG0000404_00	HN011_009768	Ecibur
OG0000405_00	LOCUS3530	Laspla
OG0000409_00	LOCUS8652	Laspla
OG0000411_00	LOCUS2847	Laspla
OG0000412_00	LOCUS2703	Laspla
OG0000413_00	G6Z76_0011126	Acrcha
OG0000414_00	LOCUS5319	Laspla
OG0000415_00	G6Z76_0013098	Acrcha
OG0000416_00	Elongases_g16712_i1	Acafer
OG0000417_00	Peptidase_M1_membrane_alanine_aminopeptidase_N-terminal_g02636_i1	Acrame
OG0000418_00	LOCUS7853	Laspla
OG0000420_00	LOCUS1357	Laspla
OG0000421_00	LOCUS11435	Laspla
OG0000422_00	G6Z76_0012992	Acrcha
OG0000423_00	Peptidase_S10_serine_carboxypeptidase_g10476_i1	Acafer
OG0000426_00	LOCUS14082	Laspla
OG0000428_00	Peptidase_S10_serine_carboxypeptidase_g16690_i1	Acafer
OG0000429_00	LOCUS2604	Laspla
OG0000431_00	LOCUS7252	Laspla
OG0000432_00	G6Z77_0013403	Acrhey
OG0000433_00	Cytochrome_P450_g12988_i1	Acafer
OG0000436_00	G6Z76_0013119	Acrcha
OG0000437_00	LOCUS1179	Laspla
OG0000438_00	G6Z76_0013092	Acrcha
OG0000439_00	LOCUS13219	Laspla
OG0000440_00	LOCUS2574	Laspla
OG0000441_00	LOCUS5543	Laspla
OG0000442_00	LOCUS3325	Laspla
OG0000443_00	LOCUS10640	Laspla
OG0000445_00	Peptidase_C14_caspase_non-catalytic_subunit_p10_g04382_i1	Acrech
OG0000446_00	G6Z76_0000794	Acrcha
OG0000447_00	Cytochrome_P450_g15057_i1	Acafer
OG0000449_00	G6Z77_0005347	Acrhey
OG0000450_00	LOCUS10214	Laspla
OG0000451_00	Pilosulin_g13822_i1	Parasp
OG0000452_00	ACFW04_000554	Catnig
OG0000455_00	LOCUS10188	Laspla
OG0000456_00	G6Z76_0007302	Acrcha
OG0000456_01	G6Z77_0008523	Acrhey
OG0000458_00	LOCUS3891	Laspla
OG0000462_00	LOCUS4624	Laspla
OG0000463_00	G6Z77_0009811	Acrhey
OG0000464_00	Cytochrome_P450_g17148_i1	Acafer
OG0000465_00	LOCUS376	Laspla
OG0000466_00	HN011_001303	Ecibur
OG0000468_00	LOCUS5352	Laspla
OG0000469_00	LOCUS11344	Laspla
OG0000470_00	Carboxylesterase_type_B_g08272_i1	Pogbar
OG0000470_01	G6Z76_0001718	Acrcha
OG0000471_00	LOCUS6407	Laspla
OG0000473_00	LOCUS11194	Laspla
OG0000474_00	LOCUS10044	Laspla
OG0000476_00	Alpha_beta_hydrolase_fold-1_g18422_i1	Acafer
OG0000478_00	LOCUS2089	Laspla
OG0000479_00	LOCUS5390	Laspla
OG0000480_00	LOCUS5920-2	Laspla
OG0000481_00	LOCUS839	Laspla
OG0000482_00	LOCUS8381	Laspla
OG0000483_00	LOCUS825	Laspla
OG0000485_00	LOCUS3482	Laspla
OG0000486_00	LOCUS8126-2	Laspla
OG0000487_00	LOCUS11305-2	Laspla
OG0000489_00	Peptidase_C14_caspase_non-catalytic_subunit_p10_g08462_i1	Acrech
OG0000491_00	LOCUS4021	Laspla
OG0000492_00	Lamin_B1_g09402_i1	Acafer
OG0000493_00	Cytochrome_P450_g12019_i1	Rosmin
OG0000494_00	LOCUS13176	Laspla
OG0000495_00	LOCUS13240	Laspla
OG0000496_00	LOCUS11586-2	Laspla
OG0000500_00	G6Z76_0004640	Acrcha
OG0000501_00	Cytochrome_P450_g10809_i1	Acafer
OG0000503_00	LOCUS13994	Laspla
OG0000504_00	LOCUS8705	Laspla
OG0000505_00	LOCUS12857	Laspla
OG0000506_00	G6Z76_0010279	Acrcha
OG0000507_00	LOCUS6694	Laspla
OG0000508_00	LOCUS9257	Laspla
OG0000509_00	LOCUS2870-2	Laspla
OG0000512_00	G6Z76_0003066	Acrcha
OG0000513_00	G6Z76_0012594	Acrcha
OG0000514_00	LOCUS5921	Laspla
OG0000514_01	LOCUS6164	Laspla
OG0000515_00	LOCUS2379	Laspla
OG0000516_00	G6Z76_0014595	Acrcha
OG0000518_00	G6Z76_0010688	Acrcha
OG0000519_00	LOCUS8316	Laspla
OG0000519_01	LOCUS12878	Laspla
OG0000520_00	LOCUS6135	Laspla
OG0000521_00	LOCUS6374	Laspla
OG0000522_00	LOCUS2032	Laspla
OG0000523_00	Cytochrome_P450_g13429_i1	Acafer
OG0000524_00	LOCUS8874	Laspla
OG0000525_00	LOCUS10119	Laspla
OG0000526_00	LOCUS6061	Laspla
OG0000527_00	G6Z76_0009544	Acrcha
OG0000528_00	JmjC_g15322_i1	Anogra
OG0000529_00	LOCUS2190	Laspla
OG0000530_00	LOCUS6661	Laspla
OG0000531_00	G6Z76_0007762	Acrcha
OG0000532_00	LOCUS7986	Laspla
OG0000533_00	LOCUS13535	Laspla
OG0000534_00	LOCUS4177	Laspla
OG0000535_00	G6Z76_0009888	Acrcha
OG0000536_00	LOCUS12887	Laspla
OG0000537_00	LOCUS516	Laspla
OG0000538_00	LOCUS6915	Laspla
OG0000541_00	G6Z75_0012432	Acrins
OG0000542_00	LOCUS3908	Laspla
OG0000543_00	LOCUS145	Laspla
OG0000544_00	LOCUS5545	Laspla
OG0000545_00	LOCUS6168	Laspla
OG0000546_00	LOCUS10724	Laspla
OG0000547_00	LOCUS7174	Laspla
OG0000548_00	G6Z76_0004952	Acrcha
OG0000551_00	LOCUS7600	Laspla
OG0000552_00	LOCUS10836	Laspla
OG0000554_00	LOCUS2919	Laspla
OG0000555_00	LOCUS6138	Laspla
OG0000556_00	LOCUS12090	Laspla
OG0000557_00	LOCUS12741	Laspla
OG0000558_00	LOCUS11014	Laspla
OG0000559_00	Peptidase_C1A_papain_C-terminal_g14599_i2	Acafer
OG0000560_00	LOCUS13458	Laspla
OG0000561_00	LOCUS13618	Laspla
OG0000562_00	LOCUS12015	Laspla
OG0000563_00	LOCUS13186	Laspla
OG0000564_00	LOCUS10825-2	Laspla
OG0000565_00	G6Z77_0009745	Acrhey
OG0000567_00	LOCUS12677	Laspla
OG0000568_00	LOCUS13949	Laspla
OG0000569_00	Glutathione_S-transferases_g15552_i1	Acrame
OG0000570_00	LOCUS10679	Laspla
OG0000571_00	LOCUS7191	Laspla
OG0000572_00	LOCUS6750	Laspla
OG0000573_00	Cytochrome_P450_g16685_i1	Acafer
OG0000574_00	LOCUS998-2	Laspla
OG0000574_01	G6Z76_0011585	Acrcha
OG0000575_00	acyl-CoA_desaturases_g18401_i1	Acafer
OG0000576_00	G6Z76_0000638	Acrcha
OG0000577_00	LOCUS3390	Laspla
OG0000578_00	LOCUS2252	Laspla
OG0000579_00	acyl_carrier_protein_domain_g02926_i1	Acafer
OG0000580_00	G6Z76_0014546	Acrcha
OG0000581_00	Hsp90_100_g13088_i2	Acafer
OG0000582_00	LOCUS10494	Laspla
OG0000587_00	LOCUS13984	Laspla
OG0000588_00	LOCUS13462	Laspla
OG0000589_00	G6Z75_0005087	Acrins
OG0000590_00	LOCUS12637	Laspla
OG0000591_00	LOCUS9378	Laspla
OG0000592_00	HN011_004346	Ecibur
OG0000593_00	G6Z76_0013648	Acrcha
OG0000594_00	LOCUS1949	Laspla
OG0000595_00	LOCUS1269	Laspla
OG0000596_00	LOCUS4139	Laspla
OG0000597_00	LOCUS3747	Laspla
OG0000598_00	LOCUS13012	Laspla
OG0000599_00	LOCUS3960	Laspla
OG0000600_00	LOCUS8798	Laspla
OG0000601_00	LOCUS3697	Laspla
OG0000602_00	PHD_finger_g15013_i1	Acafer
OG0000605_00	LOCUS2360	Laspla
OG0000606_00	G6Z76_0011124	Acrcha
OG0000607_00	Peptidase_S16_lon_N-terminal_g17372_i1	Acafer
OG0000608_00	LOCUS13960	Laspla
OG0000609_00	LOCUS3196	Laspla
OG0000610_00	LOCUS6081	Laspla
OG0000611_00	LOCUS13499	Laspla
OG0000612_00	MRJP_g02981_i1	Acafer
OG0000613_00	LOCUS13626	Laspla
OG0000614_00	LOCUS6110	Laspla
OG0000615_00	LOCUS10697	Laspla
OG0000616_00	LOCUS3597-2	Laspla
OG0000617_00	LOCUS11319	Laspla
OG0000619_00	LOCUS2485	Laspla
OG0000620_00	Peptidase_S1_S6_chymotrypsin_Hap_g00696_i1	Acafer
OG0000621_00	LOCUS8113	Laspla
OG0000622_00	LOCUS6345	Laspla
OG0000623_00	LOCUS3469	Laspla
OG0000624_00	G6Z76_0008945	Acrcha
OG0000625_00	G6Z76_0004314	Acrcha
OG0000626_00	LOCUS13149	Laspla
OG0000627_00	LOCUS2994	Laspla
OG0000628_00	LOCUS10085	Laspla
OG0000629_00	LOCUS3748	Laspla
OG0000630_00	LOCUS2210	Laspla
OG0000631_00	LOCUS380	Laspla
OG0000632_00	Insulin-like_g03579_i2	Acrame
OG0000633_00	LOCUS1309	Laspla
OG0000635_00	LOCUS3134	Laspla
OG0000636_00	LOCUS6212	Laspla
OG0000637_00	LOCUS10395	Laspla
OG0000638_00	LOCUS10516	Laspla
OG0000639_00	LOCUS820	Laspla
OG0000640_00	Chitinase_g14345_i1	Acafer
OG0000641_00	LOCUS6929	Laspla
OG0000643_00	LOCUS12860	Laspla
OG0000644_00	LOCUS11775	Laspla
OG0000645_00	LOCUS6100	Laspla
OG0000646_00	LOCUS9188	Laspla
OG0000648_00	Peptidase_M1_membrane_alanine_aminopeptidase_N-terminal_g03447_i1	Acafer
OG0000649_00	LOCUS2667	Laspla
OG0000650_00	LOCUS455	Laspla
OG0000651_00	LOCUS9538	Laspla
OG0000652_00	LOCUS3225	Laspla
OG0000653_00	G6Z76_0014518	Acrcha
OG0000654_00	LOCUS2053	Laspla
OG0000655_00	LOCUS11568	Laspla
OG0000656_00	LOCUS13138	Laspla
OG0000657_00	G6Z76_0005157	Acrcha
OG0000658_00	LOCUS4173	Laspla
OG0000659_00	LOCUS4076	Laspla
OG0000660_00	acyl-CoA_desaturases_g02193_i4	Acafer
OG0000663_00	LOCUS10615	Laspla
OG0000664_00	G6Z76_0002463	Acrcha
OG0000666_00	ACFW04_009126	Catnig
OG0000667_00	G6Z76_0000650	Acrcha
OG0000668_00	LOCUS7104	Laspla
OG0000669_00	LOCUS12271	Laspla
OG0000670_00	LOCUS1205-2	Laspla
OG0000671_00	LOCUS7843	Laspla
OG0000672_00	Cytochrome_P450_g02804_i1	Acafer
OG0000675_00	LOCUS10061-2	Laspla
OG0000676_00	HN011_005936	Ecibur
OG0000677_00	LOCUS405	Laspla
OG0000678_00	LOCUS1121	Laspla
OG0000679_00	LOCUS8981	Laspla
OG0000680_00	LOCUS11137	Laspla
OG0000682_00	LOCUS3326	Laspla
OG0000683_00	G6Z76_0009162	Acrcha
OG0000684_00	LOCUS3143	Laspla
OG0000685_00	Peptidase_S1_S6_chymotrypsin_Hap_g01076_i1	Acafer
OG0000687_00	LOCUS222	Laspla
OG0000688_00	G6Z76_0004475	Acrcha
OG0000692_00	G6Z76_0012071	Acrcha
OG0000693_00	LOCUS13996	Laspla
OG0000694_00	LOCUS8124	Laspla
OG0000695_00	LOCUS10979	Laspla
OG0000696_00	G6Z76_0003765	Acrcha
OG0000697_00	LOCUS6145-2	Laspla
OG0000698_00	Peptidase_M12B_ADAM-TS_g09168_i1	Acafer
